year,brand,view_count,like_count,dislike_count,comment_count,published_at,title,channel_title,category_id,Characteristics,Value,percent_liked
2001,Bud Light,60774,269,10,18,2012-02-14T10:39:19Z,Bud Light Funny Pencil Advertisement,Tan Jian Wei,23,Funny,TRUE,0.4426234903083555
2001,Bud Light,60774,269,10,18,2012-02-14T10:39:19Z,Bud Light Funny Pencil Advertisement,Tan Jian Wei,23,Danger,TRUE,0.4426234903083555
2001,Bud Light,60774,269,10,18,2012-02-14T10:39:19Z,Bud Light Funny Pencil Advertisement,Tan Jian Wei,23,Sexual,TRUE,0.4426234903083555
2001,Bud Light,998,3,0,0,2013-01-29T21:49:04Z,Bud Light - Cedric Date,SuperBowlsSpots,22,Funny,TRUE,0.30060120240480964
2001,Bud Light,998,3,0,0,2013-01-29T21:49:04Z,Bud Light - Cedric Date,SuperBowlsSpots,22,Celebrity,TRUE,0.30060120240480964
2001,Bud Light,998,3,0,0,2013-01-29T21:49:04Z,Bud Light - Cedric Date,SuperBowlsSpots,22,Sexual,TRUE,0.30060120240480964
2002,Budweiser,121400,642,10,50,2014-09-11T08:13:48Z,"Budweiser - Respect (2002, USA)",The Hall of Advertising,24,Patriotic,TRUE,0.528830313014827
2002,Budweiser,121400,642,10,50,2014-09-11T08:13:48Z,"Budweiser - Respect (2002, USA)",The Hall of Advertising,24,Animals,TRUE,0.528830313014827
2002,Pepsi,385777,5929,73,261,2017-05-31T19:28:56Z,Britney Spears - Pepsi Now and Then Commercial [HD Master],Britney Online,10,Celebrity,TRUE,1.5368982598755239
2002,Pepsi,385777,5929,73,261,2017-05-31T19:28:56Z,Britney Spears - Pepsi Now and Then Commercial [HD Master],Britney Online,10,Sexual,TRUE,1.5368982598755239
2002,Bud Light,4641,19,0,2,2017-12-27T08:00:03Z,Bud Light - Cedric the entertainer Superbowl XXXVI Commercial 2002,Unknown Classics!,24,Funny,TRUE,0.4093945270415859
2002,Bud Light,4641,19,0,2,2017-12-27T08:00:03Z,Bud Light - Cedric the entertainer Superbowl XXXVI Commercial 2002,Unknown Classics!,24,Celebrity,TRUE,0.4093945270415859
2002,Bud Light,4641,19,0,2,2017-12-27T08:00:03Z,Bud Light - Cedric the entertainer Superbowl XXXVI Commercial 2002,Unknown Classics!,24,Danger,TRUE,0.4093945270415859
2002,Bud Light,4641,19,0,2,2017-12-27T08:00:03Z,Bud Light - Cedric the entertainer Superbowl XXXVI Commercial 2002,Unknown Classics!,24,Sexual,TRUE,0.4093945270415859
2004,Bud Light,3739,115,1,59,2014-02-21T23:23:43Z,Frank the Monkey Bud Light,Richard jrr.,23,Funny,TRUE,3.0756886868146562
