dismissal_dataset_id,coname,gvkey,fyear,co_per_rol,exec_fullname,departure_code,CEO_left_due_to
13,AMERICAN AIRLINES GROUP INC,1045,2002,3,Donald J. Carty,3,Poor Job Performance
28,AARON'S INC,1076,2011,17979,Robert Charles Loudermilk Jr.,2,Illness
29,AARON'S INC,1076,2014,45024,Ronald W. Allen,3,Poor Job Performance
36,ACETO CORP,1094,2017,49265,Salvatore J. Guccione,3,Poor Job Performance
37,ACETO CORP,1094,2018,60744,William C. Kennally III,3,Poor Job Performance
44,ADVANCED MICRO DEVICES,1161,2008,21115,Hector de Jesus Ruiz,3,Poor Job Performance
45,ADVANCED MICRO DEVICES,1161,2010,26736,Derrick R. Meyer,3,Poor Job Performance
49,WORLDCOM INC,1164,2001,2627,Bernard John Ebbers,4,Legal Violation
59,IDNA INC,1183,2000,22635,David L. Huber,3,Poor Job Performance
67,AIR PRODUCTS & CHEMICALS INC,1209,2014,28244,John E. McGlade,3,Poor Job Performance
69,AIRBORNE INC,1213,2001,2631,Robert S. Cline,3,Poor Job Performance
78,ALBERTSON'S INC,1240,2000,38,Gary Glenn Michael,3,Poor Job Performance
96,ALLEGHENY ENERGY INC,1279,2002,2649,Alan J. Noia,3,Poor Job Performance
100,HONEYWELL INTERNATIONAL INC,1300,2001,18549,Michael R. Bonsignore,3,Poor Job Performance
115,AMCAST INDUSTRIAL CORP,1372,2000,5647,John H. Shuey,3,Poor Job Performance
136,US ECOLOGY INC,1439,2012,49518,James R. Baumgardner,3,Poor Job Performance
162,AMERICAN INTERNATIONAL GROUP,1487,2004,134,Maurice R. Greenberg,4,Legal Violation
163,AMERICAN INTERNATIONAL GROUP,1487,2007,27280,Martin John Sullivan,3,Poor Job Performance
166,AMERICAN INTERNATIONAL GROUP,1487,2016,43633,Peter D. Hancock,3,Poor Job Performance
170,AMERICAN MANAGEMENT SYSTEMS,1500,2001,21822,William M. Purdy,3,Poor Job Performance
203,ANALOG DEVICES,1632,2012,2669,Jerald G. Fishman,1,Death
