dismissal_dataset_id,coname,gvkey,fyear,co_per_rol,exec_fullname,departure_code,CEO_left_due_to
2,AAR CORP,1004,2017,5623,David P. Storch,5,Retired
4,ADC TELECOMMUNICATIONS INC,1013,2000,2611,William J. Cadogan,6,New Opportunity
5,ADC TELECOMMUNICATIONS INC,1013,2003,23275,Richard R. Roscitt,6,New Opportunity
6,ADC TELECOMMUNICATIONS INC,1013,2010,8741,Robert E. Switz,7,Other
10,ALPHARMA INC -CL A,1034,2005,9410,Ingrid Wiik,5,Retired
11,ALPHARMA INC -CL A,1034,2007,33287,Dean Jonathan Mitchell,7,Other
14,AMERICAN AIRLINES GROUP INC,1045,2011,14221,Gerard J. Arpey,5,Retired
15,AMERICAN AIRLINES GROUP INC,1045,2013,33126,Thomas W. Horton,7,Other
19,AEROFLEX INC,1056,2006,19961,Harvey R. Blau,7,Other
21,AVX CORP,1072,2000,23603,Benedict P. Rosen,5,Retired
22,AVX CORP,1072,2014,23604,John S. Gilbertson,5,Retired
25,PINNACLE WEST CAPITAL CORP,1075,2008,9411,William Joseph Post,5,Retired
26,PINNACLE WEST CAPITAL CORP,1075,2019,27518,Donald E. Brandt CPA,5,Retired
27,AARON'S INC,1076,2007,17978,Robert Charles Loudermilk Sr.,5,Retired
32,ABBOTT LABORATORIES,1078,2019,13896,Miles D. White,5,Retired
33,ACETO CORP,1094,2009,11077,Leonard S. Schwartz,5,Retired
34,ACETO CORP,1094,2010,49262,Vincent G. Miata,5,Retired
35,ACETO CORP,1094,2013,49269,Albert L. Eilender,5,Retired
43,ADVANCED MICRO DEVICES,1161,2001,11,Walter Jeremiah Sanders III,5,Retired
46,ADVANCED MICRO DEVICES,1161,2011,40089,Thomas J. Seifert,7,Other
47,ADVANCED MICRO DEVICES,1161,2014,45026,Rory P. Read,5,Retired
50,MCI INC,1164,2004,29310,Michael D. Capellas,7,Other
53,AETNA INC,1177,2000,21181,William H. Donaldson,7,Other
54,AETNA INC,1177,2005,21182,John W. Rowe,5,Retired
55,AETNA INC,1177,2010,23460,Ronald Allan Williams,5,Retired
56,AETNA INC,1177,2017,32394,Mark Thomas Bertolini,7,Other
60,IDNA INC,1183,2007,22637,James J. McNamara,7,Other
65,AIR PRODUCTS & CHEMICALS INC,1209,2000,28,Harold A. Wagner,5,Retired
66,AIR PRODUCTS & CHEMICALS INC,1209,2007,11579,John P. Jones III,5,Retired
70,AIRBORNE INC,1213,2002,13969,Carl D. Donaway,7,Other
72,ALASKA AIR GROUP INC,1230,2002,2640,John F. Kelly,5,Retired
73,ALASKA AIR GROUP INC,1230,2011,14534,William S. Ayer,5,Retired
76,ALBERTO-CULVER CO,1239,2007,34,Howard B. Bernick,5,Retired
77,ALBERTO-CULVER CO,1239,2010,30147,Vincent James Marino,7,Other
79,ALBERTSON'S INC,1240,2005,23904,Lawrence R. Johnston,7,Other
81,ALCAN INC,1243,2000,44,Jacques Bougie,5,Retired
82,ALCAN INC,1243,2006,23797,Travis Engen,5,Retired
83,ALCAN INC,1243,2006,19161,Richard B. Evans,7,Other
86,IKON OFFICE SOLUTIONS,1246,2002,11659,James J. Forese,5,Retired
87,IKON OFFICE SOLUTIONS,1246,2007,24913,Matthew J. Espe,7,Other
91,MATSON INC,1254,2009,2645,Wilton Allen Doane Jr.,5,Retired
92,MATSON INC,1254,2011,18399,Stanley M. Kuriyama,7,Other
97,ALLEGHENY ENERGY INC,1279,2010,26886,Paul J. Evanson,5,Retired
98,ALLEN TELECOM INC,1281,2002,5641,Robert G. Paul,7,Other
101,HONEYWELL INTERNATIONAL INC,1300,2005,18551,Robert D. Johnson,5,Retired
102,HONEYWELL INTERNATIONAL INC,1300,2016,25016,David M. Cote,5,Retired
104,ALLTEL CORP,1318,2001,4666,Joe T. Ford,5,Retired
105,ALLTEL CORP,1318,2007,11901,Scott T. Ford,7,Other
107,SKYWORKS SOLUTIONS INC,1327,2016,17159,David J. Aldrich,5,Retired
110,ALCOA INC,1356,2007,68,Alain Juan Pablo Belda,5,Retired
111,ALCOA INC,1356,2008,34022,Klaus-Christian Kleinfeld,7,Other
113,ALZA CORP,1359,2000,73,Ernest Mario,7,Other
116,AMCAST INDUSTRIAL CORP,1372,2003,23175,Byron O. Pond,5,Retired
123,BEAM INC,1408,2007,18570,Norman H. Wesley,5,Retired
124,BEAM INC,1408,2010,34014,Bruce A. Carbonari,7,Other
125,BEAM INC,1408,2013,45034,Matthew John Shattock,7,Other
127,ABM INDUSTRIES INC,1410,2000,5652,William W. Steele,5,Retired
128,ABM INDUSTRIES INC,1410,2014,15843,Henrik C. Slipsager,5,Retired
130,PRIMERICA INC,1414,2014,46622,"John Aurelius Addison, Jr.",5,Retired
